County,Organisation,Project Title,Amount Sought,Organisation Type ,Sport Type,Grant Category
Clare,Clare GAA,Clare GAA Centre of Excellence All-Weather Pitch,"?500,000",Sports Stadium,Gaelic Games,Non-Local
Clare,Clare Schoolboy/girls Soccer League,2023 - Essential equipment for Emerging Talent Programme,"?44,831",Sports Club,Soccer,Non-Local
Clare,Clare Water Safety,New equipment for lifesaving sport activities.,"?100,684",Community Group,Multi-sport,Local
Clare,Clarecastle GAA Club,Provision of LED floodlighting for main pitch,"?200,000",Sports Club,Gaelic Games,Local
Clare,Clarecastle Sports Complex,Clarecastle Community Sports Complex CLG,"?56,326",Sports Centre,Handball,Local
Clare,Clondegad GAA Club,Equipment Storage,"?8,460",Sports Club,Gaelic Games,Local
Clare,Clonlara Leisure Athletic & Sports Society Company Limited by Guarantee,Repair and improvement to community centre,"?18,439",Sports Centre,Multi-sport,Local
Clare,Clonmoney National School,Male/Female Toilets,"?25,000",Education & Training Board,Gaelic Games,Local
Clare,Clooney Quin GAA Club,Clooney Quin GAA Facilities Enhancement,"?158,201",Sports Club,Gaelic Games,Local
Clare,Coolmeen GAA Club,New Scoreboard Installation,"?15,128",Sports Club,Gaelic Games,Local
Clare,Cooraclare GAA Club,Modernisation and refurbishment of clubhouse,"?190,019",Sports Club,Gaelic Games,Local
Clare,CORBALLY UNITED,Updating of Pitch and Clubhouse in Our grounds I,"?83,114",Sports Club,Soccer,Local
Clare,Corofin GAA Club [CLARE],Corofin GAA Clare Community Walkway and Pitch,"?62,835",Community Group,Gaelic Games,Local
Clare,Corofin Harps Schoolboys & Girls Football Club,REPLACEMENT OF ESSENTIAL EQUIPMENT,"?27,740",Sports Club,Soccer,Local
Clare,Corofin Ladies Football Club,Corofin Ladies Football Club Equipment,"?7,711",Sports Club,Gaelic Games,Local
Clare,County Clare Agricultural Show Society Limited,Showgrounds Improvements,"?101,641",Sports Centre,Equestrian Sports,Local
Clare,Cratloe Clay Pigeon Club,Cratloe Clay Pigeon Club,"?5,700",Sports Club,Clay Pigeon Shooting,Local
Clare,Cratloe GAA Club,Cratloe GAA Club Development Plan,"?200,000",Sports Club,Gaelic Games,Local
Clare,Crusheen G.A.A. Club,Crusheen GAA upgrade of facilities and equipment,"?158,249",Sports Club,Gaelic Games,Local
Clare,Cullaun Sailing Club Ltd,Safety Boat and training vessels,"?24,503",Sports Club,Sailing,Local
Clare,Derg AC CLG,"Equipment for general, special and para athletics","?15,535",Sports Club,Athletics,Local
